Date,Open,High,Low,Close,Volume,Adj Close
2014-07-28,109.010002,109.169998,108.080002,108.989998,5391400,101.917452
2014-07-29,108.809998,109.25,107.209999,107.330002,5480700,100.365176
2014-07-30,107.809998,108.150002,106.07,106.379997,5977500,99.476819
2014-07-31,105.699997,106.57,105.099998,105.150002,6528500,98.32664
2014-08-01,104.919998,105.809998,104.25,104.75,4731300,97.952595
2014-08-04,105.040001,105.339996,104.400002,105.050003,3982700,98.23313
2014-08-05,104.82,105.720001,104.480003,105.019997,5579300,98.205071
2014-08-06,104.25,104.550003,103.139999,103.790001,5408700,97.054892
2014-08-07,104.389999,104.57,103.739998,104.220001,4155700,97.456989
2014-08-08,104.669998,105.980003,104.120003,105.959999,4479800,99.084075
2014-08-11,106.57,106.849998,105.68,105.720001,3262600,98.859651
2014-08-12,105.349998,105.800003,104.769997,104.910004,4352900,98.102216
2014-08-13,104.779999,105.769997,104.779999,105.559998,3487700,99.268301
2014-08-14,105.550003,106.050003,105.5,105.769997,2327200,99.465784
2014-08-15,106.309998,106.360001,104.940002,105.629997,3106700,99.334129
2014-08-18,106.660004,108.120003,106.480003,108.089996,5036900,101.647504
2014-08-19,108.18,108.580002,107.690002,108.559998,3961600,102.089492
2014-08-20,108.599998,109.870003,108.559998,109.709999,4502200,103.17095
2014-08-21,110.0,110.220001,109.5,110.059998,2847600,103.500088
2014-08-22,109.790001,109.940002,109.239998,109.389999,2364900,102.870023
2014-08-25,109.68,110.150002,109.68,109.82,1732800,103.274394
2014-08-26,109.900002,110.169998,109.639999,109.68,2022500,103.142739
2014-08-27,110.199997,110.339996,108.870003,109.089996,2548100,102.587901
2014-08-28,108.800003,109.230003,108.279999,109.110001,2124200,102.606713
2014-08-29,109.110001,109.349998,107.709999,107.980003,4717300,101.544067
2014-09-02,108.260002,109.07,107.720001,109.040001,4142800,102.540886
2014-09-03,109.989998,110.0,108.82,109.199997,2629700,102.691346
2014-09-04,109.489998,109.650002,109.059998,109.220001,2856600,102.710158
2014-09-05,109.510002,109.510002,108.379997,108.699997,2793100,102.221147
2014-09-08,108.900002,108.940002,108.480003,108.599998,3785400,102.127109
2014-09-09,108.760002,108.980003,108.410004,108.669998,2114600,102.192936
2014-09-10,108.669998,109.220001,108.089996,108.5,2364600,102.033071
2014-09-11,108.279999,108.730003,108.050003,108.510002,2270600,102.042477
2014-09-12,108.209999,108.639999,107.949997,108.349998,2920400,101.89201
2014-09-15,108.279999,108.470001,107.75,108.32,2515000,101.863799
2014-09-16,107.830002,108.860001,107.290001,108.540001,3089800,102.070687
2014-09-17,108.660004,108.949997,107.620003,108.029999,4109000,101.591083
2014-09-18,107.410004,108.660004,107.410004,108.519997,3439700,102.051875
2014-09-19,109.099998,109.199997,108.160004,108.449997,5947500,101.986048
2014-09-22,108.029999,108.459999,106.370003,106.470001,4142300,100.124066
2014-09-23,106.480003,106.480003,105.040001,105.419998,3839100,99.136646
2014-09-24,105.629997,106.25,105.139999,106.07,3826800,99.747906
2014-09-25,106.0,106.059998,104.300003,104.489998,3936200,98.262077
2014-09-26,104.25,105.379997,104.25,105.239998,4076400,98.967375
2014-09-29,104.400002,105.489998,104.269997,105.080002,2896800,98.816915
2014-09-30,105.540001,106.209999,105.07,105.599998,5014100,99.305918
2014-10-01,105.199997,105.25,103.440002,103.839996,5864700,97.650817
2014-10-02,103.709999,103.970001,102.449997,103.239998,4034300,97.086581
2014-10-03,103.910004,104.580002,103.599998,104.419998,3044800,98.196249
2014-10-06,105.059998,105.540001,103.75,104.220001,2981900,98.008173
2014-10-07,103.839996,103.989998,101.379997,101.419998,5991500,95.375058
2014-10-08,101.699997,102.699997,100.690002,102.629997,6249400,96.512938
2014-10-09,102.25,102.709999,99.830002,99.940002,6739600,93.983275
2014-10-10,99.989998,100.769997,99.25,99.940002,6678100,93.983275
2014-10-13,100.050003,100.959999,99.220001,99.309998,5111200,93.39082
2014-10-14,99.709999,101.110001,99.580002,100.120003,4573000,94.152547
2014-10-15,99.059998,99.589996,97.300003,99.169998,7105000,93.259165
2014-10-16,98.160004,100.089996,97.949997,99.230003,6099100,93.315594
2014-10-17,100.300003,101.980003,100.239998,101.529999,7282000,95.478503
2014-10-20,101.419998,101.769997,100.970001,101.480003,6394300,95.431487
2014-10-21,104.120003,104.150002,100.68,101.980003,12554100,95.901686
2014-10-22,103.110001,103.110001,101.059998,101.18,6181400,95.149365
2014-10-23,102.870003,103.940002,102.459999,103.18,5691500,97.030159
2014-10-24,103.160004,103.870003,102.800003,103.82,3657900,97.632013
2014-10-27,103.790001,104.300003,103.489998,104.190002,2957500,97.979962
2014-10-28,104.959999,106.519997,104.860001,106.269997,4173500,99.935982
2014-10-29,106.720001,107.269997,105.419998,105.849998,4060700,99.541017
2014-10-30,105.209999,106.589996,104.699997,106.339996,2890400,100.00181
2014-10-31,107.830002,107.949997,106.980003,107.0,4461100,100.622475
2014-11-03,107.419998,107.5,106.029999,106.300003,4587600,99.9642
2014-11-04,107.0,107.290001,106.330002,106.879997,3992400,100.509625
2014-11-05,107.550003,108.440002,107.080002,107.93,6698900,101.497045
2014-11-06,107.900002,108.830002,107.779999,108.580002,3581300,102.108304
2014-11-07,108.489998,109.080002,107.949997,109.080002,3253500,102.578503
2014-11-10,109.050003,109.230003,108.669998,109.0,3523700,102.503269
2014-11-11,109.0,109.150002,108.029999,108.260002,2949500,101.807377
2014-11-12,107.669998,108.260002,107.360001,108.139999,3182500,102.251786
2014-11-13,108.32,108.970001,107.970001,108.139999,4211200,102.251786
2014-11-14,107.919998,108.419998,107.389999,107.449997,2935500,101.599354
2014-11-17,107.209999,107.730003,107.150002,107.370003,2394500,101.523715
2014-11-18,107.699997,109.089996,107.290001,108.800003,2679300,102.875852
2014-11-19,108.550003,108.82,108.209999,108.660004,2271200,102.743476
2014-11-20,108.0,108.860001,107.870003,108.82,2195700,102.89476
2014-11-21,110.169998,110.610001,109.970001,110.300003,3572100,104.294177
2014-11-24,108.959999,111.699997,108.410004,108.790001,9706400,102.866395
2014-11-25,110.089996,112.260002,109.699997,111.709999,8103100,105.627399
2014-11-26,111.790001,111.989998,109.839996,110.160004,5268800,104.161801
2014-11-28,110.639999,110.800003,109.919998,110.080002,2121500,104.086155
2014-12-01,109.059998,110.279999,108.699997,109.690002,3458800,103.717391
2014-12-02,109.830002,110.730003,109.489998,109.68,2747000,103.707934
2014-12-03,109.900002,111.419998,109.580002,110.989998,3411400,104.946602
2014-12-04,110.470001,111.220001,109.949997,111.209999,4602600,105.154624
2014-12-05,111.480003,111.650002,110.440002,111.290001,3021700,105.23027
2014-12-08,112.25,114.550003,111.519997,113.050003,6350200,106.89444
2014-12-09,112.230003,115.0,111.559998,114.989998,5888700,108.728802
2014-12-10,114.5,115.029999,113.349998,113.5,7863500,107.319935
2014-12-11,114.099998,114.860001,113.260002,114.040001,5286100,107.830532
2014-12-12,110.540001,113.660004,110.099998,112.150002,5867300,106.043443
2014-12-15,112.660004,113.449997,111.620003,111.910004,4597400,105.816513
2014-12-16,112.230003,114.699997,111.330002,113.230003,5139300,107.064639
2014-12-17,113.510002,114.339996,111.82,113.900002,5023600,107.698156
2014-12-18,115.150002,116.959999,114.5,116.959999,4740000,110.591537
2014-12-19,116.279999,117.190002,115.379997,115.589996,7871600,109.296131
2014-12-22,115.279999,117.199997,115.279999,117.139999,3058100,110.761736
2014-12-23,117.5,118.019997,116.919998,117.209999,2715900,110.827924
2014-12-24,117.660004,117.93,116.870003,116.910004,1017900,110.544264
2014-12-26,117.519997,117.800003,117.099998,117.239998,1596700,110.85629
2014-12-29,116.349998,117.339996,116.349998,116.860001,2490700,110.496983
2014-12-30,116.889999,116.889999,115.93,116.199997,2178000,109.872917
2014-12-31,116.599998,116.900002,114.959999,115.0,2363500,108.73826
2015-01-02,115.139999,115.639999,113.800003,115.040001,3140100,108.776083
2015-01-05,114.550003,115.459999,112.839996,113.120003,4765300,106.960628
2015-01-06,112.269997,113.040001,110.230003,111.519997,5772300,105.447742
2015-01-07,112.349998,113.339996,112.019997,112.730003,3102200,106.591864
2015-01-08,113.919998,115.0,113.300003,114.650002,3899900,108.407319
2015-01-09,114.93,115.129997,113.379997,114.019997,3816100,107.811617
2015-01-12,114.459999,114.75,113.019997,114.449997,5016200,108.218204
2015-01-13,115.529999,116.839996,113.5,114.339996,4196400,108.114193
2015-01-14,113.169998,114.169998,112.620003,113.519997,3508800,107.338842
2015-01-15,113.519997,114.690002,113.059998,113.519997,3170600,107.338842
2015-01-16,113.190002,116.339996,113.160004,116.150002,5773200,109.825644
2015-01-20,116.580002,117.730003,115.900002,117.529999,5466000,111.1305
2015-01-21,117.360001,119.300003,117.199997,119.029999,7177600,112.548825
2015-01-22,119.760002,120.68,118.760002,120.449997,6562900,113.891505
2015-01-23,120.370003,120.949997,119.93,119.980003,4298400,113.447102
2015-01-26,119.830002,119.919998,118.279999,118.75,5693900,112.284072
2015-01-27,116.5,120.360001,115.010002,119.160004,7328100,112.671751
2015-01-28,119.379997,119.379997,116.790001,116.919998,4341100,110.553714
2015-01-29,116.879997,117.029999,114.470001,116.449997,6328600,110.109304
2015-01-30,115.019997,116.230003,114.629997,114.779999,4623100,108.530238
2015-02-02,115.169998,116.699997,114.050003,116.580002,3516900,110.232231
2015-02-03,117.580002,119.519997,116.419998,118.889999,4491500,112.416449
2015-02-04,118.75,119.0,117.449997,117.790001,3208400,111.376345
2015-02-05,118.260002,120.360001,117.919998,120.110001,4687300,113.570021
2015-02-06,120.0,121.019997,119.379997,119.809998,2795900,113.286353
2015-02-09,119.440002,119.940002,118.910004,119.32,2560700,112.823036
2015-02-10,119.889999,120.220001,118.919998,119.400002,2560000,112.898681
2015-02-11,118.510002,119.059998,117.970001,118.690002,2707600,112.832132
2015-02-12,119.169998,119.959999,118.82,119.589996,2897000,113.687707
2015-02-13,119.339996,121.379997,119.339996,121.25,3802100,115.265782
2015-02-17,121.0,121.900002,120.57,121.32,3241200,115.332327
2015-02-18,121.32,122.660004,121.010002,121.989998,3475200,115.969258
2015-02-19,121.580002,123.0,121.580002,122.910004,3407000,116.843857
2015-02-20,122.989998,124.449997,122.0,124.110001,4062200,117.984629
2015-02-23,123.629997,124.160004,123.07,123.720001,2737300,117.613878
2015-02-24,123.419998,124.139999,122.989998,123.790001,2455400,117.680423
2015-02-25,123.849998,124.330002,122.949997,123.370003,2872900,117.281153
2015-02-26,123.32,123.550003,122.150002,122.669998,2498200,116.615697
2015-02-27,122.550003,122.849998,121.790001,121.910004,3085300,115.893212
2015-03-02,121.910004,123.5,121.550003,123.190002,2325900,117.110037
2015-03-03,121.980003,122.889999,121.110001,121.699997,3187500,115.69357
2015-03-04,121.25,121.389999,120.519997,121.040001,2123200,115.066147
2015-03-05,121.290001,121.489998,120.349998,120.790001,1928300,114.828486
2015-03-06,119.400002,120.360001,118.879997,119.43,3663100,113.535607
2015-03-09,119.290001,122.190002,119.290001,121.75,4127100,115.741105
2015-03-10,120.550003,120.980003,117.339996,117.400002,5583800,111.605798
2015-03-11,117.779999,118.910004,117.370003,118.339996,3747900,112.4994
2015-03-12,120.349998,121.470001,120.279999,121.239998,4907800,115.256274
2015-03-13,120.760002,121.599998,117.699997,118.739998,7361500,112.87966
2015-03-16,119.25,120.160004,119.029999,120.07,4674700,114.14402
2015-03-17,119.519997,120.129997,118.75,119.860001,3822800,113.944385
2015-03-18,119.279999,120.599998,117.25,120.309998,5280200,114.372173
2015-03-19,120.040001,120.309998,119.040001,119.379997,2880800,113.488072
2015-03-20,119.809998,120.400002,119.459999,119.459999,8207000,113.564126
2015-03-23,119.459999,119.690002,118.190002,118.68,4542800,112.822623
2015-03-24,119.040001,120.18,118.25,118.919998,4033800,113.050776
2015-03-25,119.199997,119.339996,116.389999,116.459999,4456500,110.712189
2015-03-26,115.959999,116.620003,115.019997,116.040001,4389700,110.312919
2015-03-27,116.139999,117.199997,116.050003,116.900002,2804000,111.130475
2015-03-30,117.68,119.230003,117.400002,118.830002,3000800,112.965221
2015-03-31,117.669998,118.150002,117.150002,117.199997,3525400,111.415664
2015-04-01,117.370003,117.480003,115.360001,115.919998,3426200,110.198839
2015-04-02,116.589996,117.68,115.989998,117.129997,4227300,111.34912
2015-04-06,115.93,118.709999,115.93,117.860001,2857300,112.043094
2015-04-07,117.760002,118.550003,117.449997,117.489998,2269100,111.691353
2015-04-08,117.709999,118.650002,117.059998,117.839996,2484100,112.024077
2015-04-09,117.699997,118.739998,117.18,117.879997,2088400,112.062104
2015-04-10,118.139999,118.940002,117.43,118.459999,2254700,112.61348
2015-04-13,117.970001,118.620003,117.239998,117.410004,3030400,111.615306
2015-04-14,117.050003,118.110001,116.580002,117.690002,2606400,111.881486
2015-04-15,118.080002,118.779999,117.519997,117.870003,2774300,112.052602
2015-04-16,117.349998,118.309998,116.919998,117.480003,2905100,111.681851
2015-04-17,116.309998,116.519997,114.860001,115.110001,4318500,109.428819
2015-04-20,116.019997,117.169998,115.889999,116.510002,4007500,110.759724
2015-04-21,118.730003,119.0,116.110001,116.949997,4585000,111.178003
2015-04-22,116.989998,117.43,115.730003,116.959999,2792900,111.187511
2015-04-23,116.419998,117.910004,116.029999,117.260002,2632800,111.472708
2015-04-24,117.440002,117.699997,116.059998,116.160004,3523100,110.426999
2015-04-27,116.660004,116.870003,115.699997,115.739998,3920300,110.027723
2015-04-28,115.199997,116.239998,114.949997,116.080002,2746700,110.350946
2015-04-29,115.580002,116.230003,115.169998,115.379997,2893800,109.68549
2015-04-30,114.93,115.629997,113.290001,113.75,3899200,108.13594
2015-05-01,114.589996,115.720001,114.510002,115.440002,2781700,109.742533
2015-05-04,115.779999,117.139999,115.699997,116.449997,3925300,110.70268
2015-05-05,116.010002,116.879997,114.709999,115.07,3028200,109.390792
2015-05-06,116.559998,116.559998,114.269997,115.080002,3690300,109.4003
2015-05-07,115.129997,116.559998,114.589996,116.040001,3155700,110.312919
2015-05-08,117.709999,118.849998,117.309998,118.43,3707800,112.584962
2015-05-11,117.440002,118.489998,117.440002,117.699997,3023800,111.890987
2015-05-12,117.050003,117.830002,116.019997,117.360001,2804100,111.567771
2015-05-13,116.970001,118.0,116.860001,117.370003,3038700,112.189083
2015-05-14,117.82,119.370003,117.82,119.139999,2728800,113.880949
2015-05-15,119.080002,119.389999,117.919998,118.489998,2964700,113.25964
2015-05-18,118.529999,119.120003,118.400002,118.510002,2435100,113.278761
2015-05-19,118.599998,119.449997,118.510002,119.07,2808400,113.814039
2015-05-20,119.660004,119.660004,118.599998,118.870003,2431600,113.62287
2015-05-21,118.809998,119.660004,118.699997,119.120003,2121200,113.861835
2015-05-22,119.0,119.660004,118.550003,118.620003,2389600,113.383906
2015-05-26,118.550003,118.620003,116.410004,116.870003,3434600,111.711154
2015-05-27,117.400002,117.879997,116.68,117.639999,3365100,112.447162
2015-05-28,117.269997,118.0,117.269997,117.690002,2903600,112.494957
2015-05-29,117.510002,117.610001,116.43,117.169998,5061400,111.997907
2015-06-01,117.230003,117.629997,116.459999,117.0,2341600,111.835413
2015-06-02,116.730003,118.050003,116.239998,117.339996,3503300,112.160401
2015-06-03,118.029999,119.120003,117.400002,118.510002,3129900,113.278761
2015-06-04,117.830002,118.419998,116.790001,117.139999,3581600,111.969233
2015-06-05,116.589996,117.379997,116.18,117.0,2667400,111.835413
2015-06-08,116.540001,117.360001,116.110001,116.18,3237100,111.05161
2015-06-09,116.510002,117.25,116.019997,116.300003,2499500,111.166315
2015-06-10,117.5,118.0,116.910004,117.5,3145800,112.313342
2015-06-11,117.989998,118.400002,117.43,118.32,2707500,113.097146
2015-06-12,117.459999,118.029999,117.019997,117.599998,2345300,112.408926
2015-06-15,115.209999,115.529999,114.400002,114.610001,5972900,109.550912
2015-06-16,114.510002,115.379997,114.32,114.940002,4936200,109.866347
2015-06-17,115.279999,115.480003,113.980003,115.07,3799400,109.990606
2015-06-18,114.290001,116.559998,114.290001,115.900002,3753600,110.78397
2015-06-19,115.599998,116.150002,114.889999,114.889999,4210200,109.818552
2015-06-22,115.400002,115.779999,114.959999,115.279999,2971100,110.191336
2015-06-23,115.169998,115.519997,114.919998,115.230003,3632800,110.143547
2015-06-24,114.699997,114.830002,113.82,113.970001,4271200,108.939164
2015-06-25,114.239998,114.650002,113.300003,113.300003,3786200,108.29874
2015-06-26,113.470001,113.989998,113.050003,113.519997,3667700,108.509023
2015-06-29,112.739998,113.029999,111.449997,111.529999,4160400,106.606867
2015-06-30,112.239998,112.480003,110.620003,110.93,5909800,106.033354
2015-07-01,112.029999,112.169998,110.139999,110.82,4126800,105.928209
2015-07-02,111.330002,111.589996,109.220001,109.559998,5159500,104.723825
2015-07-06,108.360001,109.809998,107.949997,109.360001,4195100,104.532657
2015-07-07,109.540001,110.220001,108.050003,110.089996,4732100,105.230429
2015-07-08,108.760002,109.720001,108.260002,108.669998,3806300,103.873112
2015-07-09,110.0,110.440002,108.919998,108.919998,2555000,104.112077
2015-07-10,110.379997,111.279999,109.510002,110.18,4309600,105.31646
2015-07-13,111.190002,111.980003,110.75,111.580002,3892900,106.654663
2015-07-14,111.5,111.639999,111.019997,111.510002,2987500,106.587753
2015-07-15,111.5,111.830002,110.809998,111.25,2844500,106.339228
2015-07-16,112.32,112.360001,111.040001,111.260002,3063800,106.348789
2015-07-17,111.260002,111.470001,110.599998,110.739998,3465100,105.851738
2015-07-20,110.970001,111.010002,109.510002,110.480003,7487000,105.603221
2015-07-21,104.349998,104.949997,101.779999,102.709999,19540100,98.176198
2015-07-22,102.260002,102.5,100.889999,101.550003,9433700,97.067406
2015-07-23,102.18,102.190002,100.739998,101.139999,5925700,96.675501
2015-07-24,101.0,101.190002,99.260002,99.309998,6588000,94.926279
2015-07-27,98.779999,99.540001,98.379997,98.870003,7560400,94.505706
2015-07-28,99.029999,99.279999,98.019997,98.970001,5583000,94.60129
2015-07-29,99.089996,99.580002,97.589996,99.360001,11935800,94.974074
2015-07-30,99.379997,101.290001,99.0,100.730003,6739100,96.283603
2015-07-31,100.919998,101.489998,100.25,100.309998,7217200,95.882137
2015-08-03,100.309998,100.309998,98.18,99.419998,7123700,95.031424
2015-08-04,100.029999,100.120003,98.910004,99.029999,5557600,94.658639
2015-08-05,99.970001,100.129997,98.730003,98.870003,3895600,94.505706
2015-08-06,98.989998,99.209999,98.360001,98.980003,4198400,94.610851
2015-08-07,98.720001,98.989998,98.0,98.290001,2897100,93.951306
2015-08-10,98.849998,99.790001,98.849998,99.550003,6068400,95.15569
2015-08-11,98.68,98.889999,98.0,98.610001,7671400,94.257181
2015-08-12,97.25,98.839996,96.650002,98.690002,4618800,94.949895
2015-08-13,98.540001,99.0,98.059998,98.379997,4689900,94.651639
2015-08-14,98.110001,98.879997,97.989998,98.699997,4413300,94.959511
2015-08-17,98.129997,99.43,97.610001,99.360001,4228400,95.594502
2015-08-18,98.959999,100.019997,98.959999,99.410004,4730400,95.64261
2015-08-19,98.699997,99.370003,97.870003,98.209999,3619800,94.488083
2015-08-20,97.5,98.150002,95.82,95.82,6084000,92.188659
2015-08-21,94.959999,95.220001,92.919998,93.010002,7624400,89.485153
2015-08-24,88.669998,93.190002,87.169998,90.870003,10994900,87.426254
2015-08-25,93.360001,93.75,88.690002,88.800003,8283500,85.434703
2015-08-26,90.690002,91.690002,88.809998,91.559998,7380300,88.0901
2015-08-27,92.519997,93.480003,91.550003,93.269997,7473800,89.735294
2015-08-28,92.849998,93.550003,92.669998,93.239998,5230200,89.706433
2015-08-31,91.209999,92.620003,90.540001,91.610001,7073400,88.138208
2015-09-01,89.489998,90.68,89.279999,89.720001,6786600,86.319835
2015-09-02,90.940002,91.260002,89.970001,91.239998,5642000,87.782228
2015-09-03,92.0,92.580002,91.639999,91.910004,4534600,88.426842
2015-09-04,90.82,91.150002,90.360001,90.68,4562800,87.243453
2015-09-08,92.150002,92.959999,91.949997,92.82,4814800,89.302351
2015-09-09,93.650002,93.839996,91.739998,91.849998,4783500,88.369111
2015-09-10,92.040001,92.089996,90.889999,91.400002,6120700,87.936167
2015-09-11,91.199997,92.339996,91.0,92.330002,4490200,88.830923
2015-09-14,92.300003,92.440002,91.389999,91.830002,3279200,88.349872
2015-09-15,92.620003,93.110001,92.080002,92.68,4107700,89.167657
2015-09-16,92.720001,94.110001,92.68,93.940002,3504200,90.379909
2015-09-17,93.889999,94.919998,93.139999,93.309998,5205800,89.773779
2015-09-18,92.410004,92.599998,90.529999,91.07,10468800,87.618672
2015-09-21,91.330002,92.169998,91.0,91.550003,2981200,88.080484
2015-09-22,88.980003,89.699997,87.660004,88.199997,7911700,84.857435
2015-09-23,88.150002,88.379997,85.900002,86.959999,7324200,83.66443
2015-09-24,85.75,86.989998,85.5,86.82,7126800,83.529736
2015-09-25,87.629997,88.169998,86.730003,87.300003,7447600,83.991549
2015-09-28,86.599998,87.470001,86.290001,86.830002,5343700,83.539359
2015-09-29,86.580002,88.080002,86.459999,87.980003,4117600,84.645779
2015-09-30,88.639999,89.57,88.080002,88.989998,5065900,85.617497
2015-10-01,88.900002,89.43,87.529999,88.360001,3668600,85.011375
2015-10-02,87.489998,89.889999,86.82,89.769997,4624200,86.367936
2015-10-05,90.440002,92.480003,90.220001,92.260002,4912500,88.763576
2015-10-06,92.150002,92.849998,92.010002,92.550003,3386600,89.042587
2015-10-07,94.0,94.160004,92.57,93.510002,3516100,89.966204
2015-10-08,92.860001,94.389999,92.839996,94.330002,4051800,90.755128
2015-10-09,94.669998,95.940002,94.510002,95.370003,4099900,91.755715
2015-10-12,94.940002,95.470001,94.610001,95.43,3194900,91.813439
2015-10-13,94.169998,94.75,93.639999,94.279999,4079300,90.70702
2015-10-14,94.269997,94.860001,91.760002,92.169998,5608300,88.676983
2015-10-15,92.709999,93.230003,92.150002,93.18,3829800,89.648709
2015-10-16,94.0,94.150002,92.629997,93.0,3085400,89.47553
2015-10-19,92.5,92.849998,91.209999,92.050003,5513800,88.561536
2015-10-20,94.330002,97.690002,93.080002,95.620003,9005200,91.996241
2015-10-21,96.239998,98.68,96.019997,97.970001,10498900,94.25718
2015-10-22,98.290001,100.230003,98.099998,99.790001,5722400,96.008207
2015-10-23,100.459999,100.900002,100.18,100.620003,5032900,96.806753
2015-10-26,100.620003,100.980003,100.0,100.230003,2701000,96.431534
2015-10-27,99.800003,99.970001,98.709999,98.879997,3396500,95.13269
2015-10-28,99.370003,99.519997,98.169998,99.32,3829900,95.556017
2015-10-29,99.239998,99.610001,98.239998,99.050003,3287300,95.296253
2015-10-30,99.029999,99.18,98.260002,98.410004,4010900,94.680508
2015-11-02,98.82,99.580002,98.349998,99.389999,3067500,95.623364
2015-11-03,99.379997,100.339996,98.800003,100.0,3090000,96.210247
2015-11-04,100.419998,101.040001,100.0,100.330002,3116100,96.527743
2015-11-05,100.43,100.989998,99.720001,100.800003,2832400,96.979932
2015-11-06,100.040001,100.800003,99.290001,100.800003,2735100,96.979932
2015-11-09,100.599998,100.839996,99.209999,99.660004,3164700,95.883136
2015-11-10,98.830002,99.419998,97.949997,98.68,2738500,95.553907
2015-11-11,99.040001,99.400002,98.07,98.260002,2165900,95.147214
2015-11-12,97.260002,99.730003,96.879997,99.220001,8808200,96.076801
2015-11-13,98.720001,99.639999,96.389999,96.480003,6218900,93.423604
2015-11-16,96.559998,97.860001,96.379997,97.830002,5098700,94.730836
2015-11-17,98.169998,98.300003,97.400002,97.550003,4528800,94.459707
2015-11-18,97.629997,97.860001,96.839996,97.709999,4202000,94.614635
